,subjects,preprocessed,statement,bidirectional_statement
5943,We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.,"['save', 'billion', 'simply', 'giving', 'money', 'medicare', 'recipient', 'dont', 'exist', 'procedure', 'didnt', 'happen']",false,false
5944,The University of Wisconsin System will be much more affordable than just about any other campus in America because going forward we have a cap on it tied to inflation.,"['university', 'wisconsin', 'affordable', 'campus', 'america', 'going', 'forward', 'cap', 'tied', 'inflation']",false,false
5945,Gov. Rick Perry used $3.2 billion in stimulus dollars for schools to plug other holes in his budget.,"['gov', 'rick', 'perry', 'used', 'billion', 'stimulus', 'dollar', 'school', 'plug', 'hole', 'budget']",barely-true,false
5946,On immigration reform,"['immigration', 'reform']",true,true
5947,The actions Im taking are the kinds of actions taken by every single Republican president and every single Democratic president for the past half-century.,"['action', 'im', 'taking', 'kind', 'action', 'taken', 'single', 'republican', 'president', 'single', 'democratic', 'president', 'past', 'half', 'century']",half-true,true
5948,"It took us four years to balance the budget. Then I gave you four surplus budgets for the first time in more than 70 years, paid $600 billion down on the national debt.","['took', 'year', 'balance', 'budget', 'gave', 'surplus', 'budget', 'time', 'year', 'paid', 'billion', 'national', 'debt']",mostly-true,true
5949,"Says Jon Corzine gave away 14 percent raises over 4 years and he stood on the front steps of the Capitol at a public-sector union rally and said, I will fight to get you a great contract.","['say', 'jon', 'corzine', 'gave', 'away', 'percent', 'raise', 'year', 'stood', 'step', 'capitol', 'public', 'sector', 'union', 'rally', 'said', 'fight', 'great', 'contract']",mostly-true,true
5950,Weve cut taxes 50 times and look what has happened to our revenues. Theyve grown.,"['weve', 'cut', 'tax', 'time', 'look', 'happened', 'revenue', 'theyve', 'grown']",mostly-true,true
5951,Many dont know that Bill Young was once the minority leader in the Florida Senate...because he was the only Republican senator.,"['dont', 'know', 'young', 'minority', 'leader', 'florida', 'senate', 'republican', 'senator']",true,true
5952,Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.,"['say', 'barack', 'obama', 'american', 'president', 'visited', 'day', 'monument', 'normandy', 'day']",pants-fire,false
5953,Says Oregon is one of only three states that allow the use of gillnets on inland waters.,"['say', 'oregon', 'state', 'allow', 'use', 'gillnets', 'inland', 'water']",false,false
5954,"Obamacare is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.","['obamacare', 'biggest', 'job', 'killer', 'country', 'million', 'american', 'lost', 'job', 'forced', 'time', 'work']",pants-fire,false
5955,"Says Donald Trump made a lot of money from outsourcing jobs thanks to NAFTA but never, ever raised his voice against it when Congress was considering it.","['say', 'donald', 'trump', 'lot', 'money', 'outsourcing', 'job', 'thanks', 'nafta', 'raised', 'voice', 'congress', 'considering']",barely-true,false
5956,I've spent 20 years devoted to working on behalf of families who are having a tough time and are seeking out the American dream.,"['spent', 'year', 'devoted', 'working', 'behalf', 'family', 'tough', 'time', 'seeking', 'american', 'dream']",true,true
5957,Says he was a Marine during Vietnam.,"['say', 'marine', 'vietnam']",barely-true,false
5958,AARP is endorsing the health care reform bill.,"['aarp', 'endorsing', 'health', 'care', 'reform']",barely-true,false
5959,Says Mitt Romneys investments created zero jobs.,"['say', 'mitt', 'romneys', 'investment', 'created', 'zero', 'job']",pants-fire,false
5960,"American Hustleshows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.","['american', 'hustleshows', 'fbi', 'making', 'real', 'life', 'bribe', 'washington', 'politician', 'know', 'senator', 'turned']",true,true
5961,"These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for.","['step', 'middle', 'class', 'tax', 'cut', 'national', 'health', 'care', 'plan', 'foreclosure', 'prevention', 'fund', 'social', 'security', 'fix', 'paid']",barely-true,false
5962,Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms.,"['barack', 'obama', 'hillary', 'clinton', 'negotiating', 'united', 'nation', 'treaty', 'ban', 'use', 'firearm']",pants-fire,false
5963,"The nearly six-year delay in approving Keystone is costing Americans more than 100,000 jobs.","['nearly', 'year', 'delay', 'approving', 'keystone', 'costing', 'american', 'job']",false,false
5964,Says iPads and iPhones are built in the United States of America.,"['say', 'ipads', 'iphones', 'built', 'united', 'state', 'america']",false,false
5965,"Dubious taxpayer-funded stimulus projects in Rhode Island include $250,000 to provide digital television to the states inmate population.","['dubious', 'taxpayer', 'funded', 'stimulus', 'project', 'rhode', 'island', 'include', 'provide', 'digital', 'television', 'state', 'inmate', 'population']",false,false
5966,The Pentagon itself says that we could eliminate 20 percent of U.S. bases.,"['pentagon', 'say', 'eliminate', 'percent', 'base']",barely-true,false
5967,I never called for a partition of Iraq.,"['called', 'partition', 'iraq']",true,true
5968,"In the history department at the University of Texas, out of 50 registered voters, only one is a Republican.","['history', 'department', 'university', 'texas', 'registered', 'voter', 'republican']",false,false
5969,Said Republicans made historic gains in state legislatures during last months election,"['said', 'republican', 'historic', 'gain', 'state', 'legislature', 'month', 'election']",true,true
5970,We got the highest vote count in the history of the Republican Party.,"['got', 'highest', 'vote', 'count', 'history', 'republican', 'party']",mostly-true,true
5971,"Metro Atlantans spend over an hour every day or five hours a week commuting, for a total of 260 hours a year.","['metro', 'atlantans', 'spend', 'hour', 'day', 'hour', 'week', 'commuting', 'total', 'hour', 'year']",half-true,true
5972,"In Cover Florida ""thousands already enrolled and climbing.""","['cover', 'florida', 'thousand', 'enrolled', 'climbing']",half-true,true
5973,The Cathedral of Christ the King is one of the Archdiocese of Atlantas largest and fastest-growing parishes.,"['cathedral', 'christ', 'king', 'archdiocese', 'atlanta', 'largest', 'fastest', 'growing', 'parish']",mostly-true,true
5974,New Jerseys citizens are working at the highest rate in three years.,"['new', 'jersey', 'citizen', 'working', 'highest', 'rate', 'year']",false,false
5975,The money supply has doubled in the last year.,"['money', 'supply', 'doubled', 'year']",barely-true,false
5976,"Says Oregons high minimum wage is the reason why by 2011, Oregons restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the states minimum wage began rising above the federal level in 1997.","['say', 'oregon', 'high', 'minimum', 'wage', 'reason', 'oregon', 'restaurant', 'employed', 'average', 'worker', 'fewer', 'employee', 'state', 'minimum', 'wage', 'began', 'rising', 'federal', 'level']",false,false
5977,The president of the United States ... agrees with me that marriage should be between a man and a woman.,"['president', 'united', 'state', 'agrees', 'marriage', 'man', 'woman']",true,true
5978,The debt ceiling deal will result in the lowest level of annual domestic spending since Dwight Eisenhower was president.,"['debt', 'ceiling', 'deal', 'result', 'lowest', 'level', 'annual', 'domestic', 'spending', 'dwight', 'eisenhower', 'president']",half-true,true
5979,The Climatic Research Unit e-mails show that the science behind climate change has been pretty well debunked.,"['climatic', 'research', 'unit', 'mail', 'science', 'climate', 'change', 'pretty', 'debunked']",false,false
5980,President Obamas suggested reduction in spending for next year: $0.,"['president', 'obamas', 'suggested', 'reduction', 'spending', 'year']",mostly-true,true
5981,"Rick Perry ended full-day Pre-K for 100,000 Texas children.","['rick', 'perry', 'ended', 'day', 'pre', 'texas', 'child']",barely-true,false
5982,Says PPS employees have paid their own PERS contributions for many years.,"['say', 'pps', 'employee', 'paid', 'pers', 'contribution', 'year']",true,true
5983,Every president since Eisenhower has taken executive action to address immigration issues.,"['president', 'eisenhower', 'taken', 'executive', 'action', 'address', 'immigration', 'issue']",mostly-true,true
5984,Says Alex Sinks plans for governor include $12.5 billion in new spending.,"['say', 'alex', 'sink', 'plan', 'governor', 'include', 'billion', 'new', 'spending']",false,false
5985,"Any child born prematurely, according to the president, in his own words, can be killed.","['child', 'born', 'prematurely', 'according', 'president', 'word', 'killed']",pants-fire,false
5986,Seventy percent of all uninsured live in households in which at least one person is working.,"['seventy', 'percent', 'uninsured', 'live', 'household', 'person', 'working']",true,true
5987,Recent data showed Nevada ranks 50th in the money received from the stimulus bill.,"['recent', 'data', 'showed', 'nevada', 'rank', 'money', 'received', 'stimulus']",false,false
5988,"If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes.","['want', 'talk', 'first', 'bush', 'time', 'american', 'history', 'president', 'took', 'war', 'cut', 'tax']",mostly-true,true
5989,Nearly half of all persons under 30 did not go to work today.,"['nearly', 'half', 'person', 'work', 'today']",pants-fire,false
5990,Ted Cruz tried to ban contraception five times.,"['ted', 'cruz', 'tried', 'ban', 'contraception', 'time']",barely-true,false
5991,I dont own a single stock or bond I have no savings accounts.,"['dont', 'single', 'stock', 'bond', 'saving', 'account']",half-true,true
5992,Forty percent of the undocumented workers in this country entered the U.S. legally and overstayed their visa.,"['percent', 'undocumented', 'worker', 'country', 'entered', 'legally', 'overstayed', 'visa']",mostly-true,true
5993,Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.,"['half', 'rural', 'hospital', 'operate', 'red', 'virginia', 'operate', 'loss']",true,true
5994,Obama keeps talking about getting rid of all nuclear weapons. Hes already significantly reduced our capabilities there.,"['obama', 'keep', 'talking', 'getting', 'rid', 'nuclear', 'weapon', 'he', 'significantly', 'reduced', 'capability']",barely-true,false
5995,"Milwaukee has seen an uptick in violence since 2010, and the only period of calm we get is when winter sets in.","['milwaukee', 'seen', 'uptick', 'violence', 'period', 'calm', 'winter', 'set']",mostly-true,true
5996,The numbers of people that support Obamacare and like it have been steadily dropping.,"['number', 'people', 'support', 'obamacare', 'like', 'steadily', 'dropping']",false,false
5997,"The region I represent, both currently and in the future, has more automotive plants than the entire state of California.","['region', 'represent', 'currently', 'future', 'automotive', 'plant', 'entire', 'state', 'california']",true,true
5998,"Obama's wife wrote a paper in college that said America was a nation founded on ""crime and hatred"" and that whites in America are ""ineradicably racist.""","['obama', 'wife', 'wrote', 'paper', 'college', 'said', 'america', 'nation', 'founded', 'crime', 'hatred', 'white', 'america', 'ineradicably', 'racist']",pants-fire,false
5999,"Says in U.S. Congress, members dont even have to be on the floor for debates or votes.","['say', 'congress', 'member', 'dont', 'floor', 'debate', 'vote']",half-true,true
6000,"Says Gov. Rick Scott lost Florida 331,247 jobs.","['say', 'gov', 'rick', 'scott', 'lost', 'florida', 'job']",pants-fire,false
6001,Says North Carolina Republican Senate candidate Thom Tillis supports a plan that would end Medicare as we know it.,"['say', 'north', 'carolina', 'republican', 'senate', 'candidate', 'thom', 'tillis', 'support', 'plan', 'end', 'medicare', 'know']",barely-true,false
6002,"In the 1950s and 1960s, the minimum wage was such that it would lift you out of poverty.","['minimum', 'wage', 'lift', 'poverty']",mostly-true,true
6003,"Says Freddie Mac, electric co-ops and credit unions are all government sponsored enterprises.","['say', 'freddie', 'mac', 'electric', 'ops', 'credit', 'union', 'government', 'sponsored', 'enterprise']",pants-fire,false
6004,Republican redistricting plans cut Democrat Nancy Nusbaum out of her state Senate district by a half a block.,"['republican', 'redistricting', 'plan', 'cut', 'democrat', 'nancy', 'nusbaum', 'state', 'senate', 'district', 'half', 'block']",true,true
6005,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""","['obama', 'interviewed', 'american', 'reporter', 'asia', 'asked', 'asia', 'asked', 'economy']",false,false
6006,A strong majority of Americans support the Keystone XL pipeline.,"['strong', 'majority', 'american', 'support', 'keystone', 'xl', 'pipeline']",mostly-true,true
6007,A majority of Wisconsinites opposed the government takeover of health care. But Russ Feingold voted for it anyway.,"['majority', 'wisconsinite', 'opposed', 'government', 'takeover', 'health', 'care', 'rus', 'feingold', 'voted']",false,false
6008,The lack of an automatic braking system that could have prevented the Philadelphia Amtrak crash wasnt driven by a lack of funding. It just takes a while. They (Congress) just passed it in the recent past.,"['lack', 'automatic', 'braking', 'prevented', 'philadelphia', 'amtrak', 'crash', 'wasnt', 'driven', 'lack', 'funding', 'take', 'congress', 'passed', 'recent', 'past']",half-true,true
6009,Obama has chosen to deny the vicious anti-Semitic motivation of the attack on a kosher Jewish grocery in Paris.,"['obama', 'chosen', 'deny', 'vicious', 'anti', 'semitic', 'motivation', 'attack', 'kosher', 'jewish', 'grocery', 'paris']",false,false
6010,"Only 15 percent of drug users are African-American, yet 74 percent of all drug offenders sentenced to prison are black","['percent', 'drug', 'user', 'african', 'american', 'percent', 'drug', 'offender', 'sentenced', 'prison', 'black']",half-true,true
6011,"Gas prices have never been higher, and Exxon Mobil's profits have never been higher.","['gas', 'price', 'higher', 'exxon', 'mobil', 'profit', 'higher']",false,false
6012,Were now the No. 1 producer of oil in the world. Weve surpassed Saudi Arabia.,"['producer', 'oil', 'world', 'weve', 'surpassed', 'saudi', 'arabia']",true,true
6013,"Says As Mayor of Wilsonville, I drove TriMet out of town and replaced their bloated transit system with our own local bus line that offers better service and has saved our businesses millions of dollars.","['say', 'mayor', 'wilsonville', 'drove', 'trimet', 'town', 'replaced', 'bloated', 'transit', 'local', 'bus', 'line', 'offer', 'better', 'service', 'saved', 'business', 'million', 'dollar']",barely-true,false
6014,"If Rhode Island applied a 1-percent sales tax on all items exempt from sales tax, ''the state would receive an additional $89,376,857.''","['rhode', 'island', 'applied', 'percent', 'sale', 'tax', 'item', 'exempt', 'sale', 'tax', 'state', 'receive', 'additional']",mostly-true,true
6015,Did not vote for tax increases as a member of the West Miami City Commission.,"['vote', 'tax', 'increase', 'member', 'west', 'miami', 'city', 'commission']",false,false
6016,Were going to be looking at $8 billion a day that were going to be pouring into foreign countries in order to import that make-up fuel that were going to need to take the place of what we could have gotten out of the gulf.,"['going', 'looking', 'billion', 'day', 'going', 'pouring', 'foreign', 'country', 'order', 'import', 'make', 'fuel', 'going', 'need', 'place', 'gotten', 'gulf']",pants-fire,false
6017,Birth control pioneer Margaret Sanger believed that people like me should be eliminated.,"['birth', 'control', 'pioneer', 'margaret', 'sanger', 'believed', 'people', 'like', 'eliminated']",false,false
6018,Says a trash mound on U.S. 290 is 800 feet tall.,"['say', 'trash', 'mound', 'foot', 'tall']",barely-true,false
6019,"Under the current procedure, if someone on a terror watch list tries to buy a gun, authorities are notified.","['current', 'procedure', 'terror', 'watch', 'list', 'try', 'buy', 'gun', 'authority', 'notified']",half-true,true
6020,"One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.","['state', 'union', 'pas', 'voter', 'id', 'rhode', 'island', 'percent', 'democratic', 'legislature']",false,false
6021,"In the past 27 months, President Barack Obama has created more private-sector jobs than in the Reagan recovery.","['past', 'month', 'president', 'barack', 'obama', 'created', 'private', 'sector', 'job', 'reagan', 'recovery']",false,false
6022,States with the highest gun ownership rates also have the highest suicide rates.,"['state', 'highest', 'gun', 'ownership', 'rate', 'highest', 'suicide', 'rate']",true,true
6023,I don't do earmarks. I've never done one. I'm not going to do one.,"['earmark', 'going']",true,true
6024,"Likens Obamas predicament to 1982, saying, when Reagan just started out, (unemployment was at) exactly the same point. He was two years into his term. The unemployment was well over 10 percent, and it did come out of it.","['likens', 'obamas', 'predicament', 'saying', 'reagan', 'started', 'unemployment', 'exactly', 'point', 'year', 'term', 'unemployment', 'percent', 'come']",mostly-true,true
6025,"Says Tom Barrett voted to ban 15 different kinds of guns, even a lot of common deer rifles.","['say', 'tom', 'barrett', 'voted', 'ban', 'different', 'kind', 'gun', 'lot', 'common', 'deer', 'rifle']",barely-true,false
6026,The governor having a meeting ... isnt covered by the open meetings act.,"['governor', 'meeting', 'isnt', 'covered', 'open', 'meeting', 'act']",true,true
6027,Says he won the popular vote if you deduct the millions of people who voted illegally.,"['say', 'popular', 'vote', 'deduct', 'million', 'people', 'voted', 'illegally']",pants-fire,false
6028,Says his proposed education spending is the highest state funding level in Florida history.,"['say', 'proposed', 'education', 'spending', 'highest', 'state', 'funding', 'level', 'florida', 'history']",half-true,true
6029,"E-mail quotes Maureen Dowd column that Obama has received suspicious contributions from Saudi Arabia, Iran and China.","['mail', 'quote', 'maureen', 'dowd', 'column', 'obama', 'received', 'suspicious', 'contribution', 'saudi', 'arabia', 'iran', 'china']",false,false
6030,Says 94 percent of (Marco Rubios) constituents support a universal background check.,"['say', 'percent', 'marco', 'rubios', 'constituent', 'support', 'universal', 'background', 'check']",true,true
6031,"Says Tommy Thompsons tax plan amounts to an average tax cut of almost $87,000 for the top 1 percent.","['say', 'tommy', 'thompson', 'tax', 'plan', 'amount', 'average', 'tax', 'cut', 'percent']",mostly-true,true
6032,"Says Connie Mack takes two homestead exemptions, directly contrary to Floridas Constitution.","['say', 'connie', 'mack', 'take', 'homestead', 'exemption', 'directly', 'contrary', 'florida', 'constitution']",barely-true,false
6033,Nobody has ever escaped from one of our federal 'supermax' prisons.,"['escaped', 'federal', 'supermax', 'prison']",true,true
6034,"Says 220,000New Yorkers would have immediately benefitted had President Obamas executive action been affirmed.So almost a quarter million of our fellow New Yorkers who are hurting right now whose rights and opportunities were taken away by the Supreme Court.","['say', 'yorkers', 'immediately', 'benefitted', 'president', 'obamas', 'executive', 'action', 'affirmed', 'quarter', 'million', 'fellow', 'new', 'yorkers', 'hurting', 'right', 'right', 'opportunity', 'taken', 'away', 'supreme', 'court']",barely-true,false
6035,"The bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit.","['reported', 'committee', 'set', 'billion', 'slush', 'fund', 'intended', 'resolving', 'failing', 'firm', 'available', 'virtually', 'purpose', 'treasury', 'secretary', 'see', 'fit']",false,false
6036,"Barack Obama and the Democrats have ""proposed a tax for not having health insurance.""","['barack', 'obama', 'democrat', 'proposed', 'tax', 'health', 'insurance']",true,true
6037,"The priorities of more than three-quarters of Americans are to increase the minimum wage, create a path to citizenship for illegal immigrants, and require background checks for gun buyers.","['priority', 'quarter', 'american', 'increase', 'minimum', 'wage', 'create', 'path', 'citizenship', 'illegal', 'immigrant', 'require', 'background', 'check', 'gun', 'buyer']",barely-true,false
6038,We in this state saw more job creation in the last three years since Ive been governor than you saw in the whole eight years of Doyles time as governor.,"['state', 'saw', 'job', 'creation', 'year', 'ive', 'governor', 'saw', 'year', 'doyles', 'time', 'governor']",mostly-true,true
6039,One-third of all bank tellers (are) on public assistance.,"['bank', 'teller', 'public', 'assistance']",mostly-true,true
6040,Bill Clinton's peace dividend . . . cut the military 25 and 30 percent.,"['clinton', 'peace', 'dividend', 'cut', 'military', 'percent']",half-true,true
6041,We wiped out a $3.6 billion deficit without raising taxes.,"['wiped', 'billion', 'deficit', 'raising', 'tax']",half-true,true
6042,Mr. Hurt would re-open that darn (Medicare) doughnut hole.,"['mr', 'hurt', 'open', 'darn', 'medicare', 'doughnut', 'hole']",half-true,true
6043,Animal abuse is often an indicative trait of future acts of violence against humans.,"['animal', 'abuse', 'indicative', 'trait', 'future', 'act', 'violence', 'human']",true,true
6044,"Says that all those who do not answer directly to the president, theyve said (repealing Dont Ask, Dont Tell) is a terrible idea.","['say', 'answer', 'directly', 'president', 'theyve', 'said', 'repealing', 'dont', 'ask', 'dont', 'tell', 'terrible', 'idea']",false,false
6045,There has not been a Democratic woman in Congress from New Jersey in almost four decades.,"['democratic', 'woman', 'congress', 'new', 'jersey', 'decade']",true,true
6046,The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,"['obama', 'administration', 'increased', 'deportation', 'illegal', 'immigrant', 'convicted', 'crime', 'percent']",true,true
6047,"Six of the 10 richest counties in the United States surround Washington, D.C.","['richest', 'county', 'united', 'state', 'surround', 'washington']",true,true
6048,"The FBI has reopened its investigation into Hillary Clinton ... and discovered another 650,000 emails.","['fbi', 'reopened', 'investigation', 'hillary', 'clinton', 'discovered', 'email']",half-true,true
6049,"About halfway through fiscal year 2009, Washington has run out of money.","['halfway', 'fiscal', 'year', 'washington', 'run', 'money']",true,true
6050,Says shes tried over 100 jury cases in Travis County courts.,"['say', 'shes', 'tried', 'jury', 'case', 'travis', 'county', 'court']",false,false
6051,Kelly Ayotte voted to give big oil more than $20 billion in tax breaks.,"['kelly', 'ayotte', 'voted', 'big', 'oil', 'billion', 'tax', 'break']",mostly-true,true
6052,The average age of members of the House of Representatives is 57 years old.,"['average', 'age', 'member', 'house', 'representative', 'year', 'old']",true,true
6053,Says Panasonic stayed in New Jersey because of the Business Retention and Relocation Assistance Grant (BRRAG) program.,"['say', 'panasonic', 'stayed', 'new', 'jersey', 'business', 'retention', 'relocation', 'assistance', 'grant', 'brrag', 'program']",false,false
6054,"At the same time gas prices have increased, the share of the oil market controlled by speculators has more than doubled over the past 10 years.","['time', 'gas', 'price', 'increased', 'share', 'oil', 'market', 'controlled', 'speculator', 'doubled', 'past', 'year']",half-true,true
6055,"Most federal employees do not have collective bargaining for benefits, nor for pay.","['federal', 'employee', 'collective', 'bargaining', 'benefit', 'pay']",true,true
6056,African-Americans dont use drugs at a higher level than whites but wind up going to prison six times more.,"['african', 'american', 'dont', 'use', 'drug', 'higher', 'level', 'white', 'wind', 'going', 'prison', 'time']",mostly-true,true
6057,On offshore oil drilling.,"['offshore', 'oil', 'drilling']",true,true
6058,"When Obama went to Pakistan in 1981, he could not have been traveling as a U.S. citizen.","['obama', 'went', 'pakistan', 'traveling', 'citizen']",pants-fire,false
6059,"No one in Rhode Island -- not just children, no one in Rhode Island -- should eat more than one serving of freshwater fish caught in our state each month.","['rhode', 'island', 'child', 'rhode', 'island', 'eat', 'serving', 'freshwater', 'fish', 'caught', 'state', 'month']",half-true,true
6060,The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.,"['debt', 'going', 'approach', 'couple', 'year', 'spend', 'national', 'defense', 'budget']",mostly-true,true
6061,Says President Barack Obamas proposed budget includes two new tax increases that would collect about $14 billion.,"['say', 'president', 'barack', 'obamas', 'proposed', 'budget', 'includes', 'new', 'tax', 'increase', 'collect', 'billion']",mostly-true,true
6062,"The prosecution of state Sen. Don Balfour cost less than $100, excluding prosecutors salaries.","['prosecution', 'state', 'sen', 'balfour', 'cost', 'excluding', 'prosecutor', 'salary']",half-true,true
6063,Says U.S. Senate rival Tammy Baldwin wants a completely government-controlled health care system that goes far beyond Obamacare and is a Medicare system for all.,"['say', 'senate', 'rival', 'tammy', 'baldwin', 'want', 'completely', 'government', 'controlled', 'health', 'care', 'go', 'far', 'obamacare', 'medicare']",mostly-true,true
6064,"You have to be a citizen to vote, but with same-day voter registration, you have places where people just walk in and vote.","['citizen', 'vote', 'day', 'voter', 'registration', 'place', 'people', 'walk', 'vote']",false,false
6065,Rhode Island continues to have the highest rates of substance abuse in the country.,"['rhode', 'island', 'continues', 'highest', 'rate', 'substance', 'abuse', 'country']",true,true
6066,"Texas AM University - Commerce offers counseling, safe spaces for students who are afraid of President-elect Trump.","['texas', 'university', 'commerce', 'offer', 'counseling', 'safe', 'space', 'student', 'afraid', 'president', 'elect', 'trump']",half-true,true
6067,"Wars in Afghanistan and Iraq have cost every U.S. family $45,000.","['war', 'afghanistan', 'iraq', 'cost', 'family']",half-true,true
6068,"Jerry Brown gave California state employees collective bargaining powers and now, state employees can retire at 55 with much of their salary for life.","['jerry', 'brown', 'gave', 'california', 'state', 'employee', 'collective', 'bargaining', 'power', 'state', 'employee', 'retire', 'salary', 'life']",half-true,true
6069,Obama has jumped the shark and ordered the ocean closed!,"['obama', 'jumped', 'shark', 'ordered', 'ocean', 'closed']",false,false
6070,An image in a ChrisAbele TV ad depicts wealthy citizens who would benefit from a lake created by the controversial Estabrook Dam.,"['image', 'chrisabele', 'tv', 'ad', 'depicts', 'wealthy', 'citizen', 'benefit', 'lake', 'created', 'controversial', 'estabrook', 'dam']",pants-fire,false
6071,Says Donald Trumps plan to repeal the estate tax would mean the Walmart Walton family would get a $53 billion tax break.,"['say', 'donald', 'trump', 'plan', 'repeal', 'estate', 'tax', 'mean', 'walmart', 'walton', 'family', 'billion', 'tax', 'break']",half-true,true
6072,"In 2007, Ed Gillespie was paid $300,000 to be the frontman for a coalition that made the individual mandate the centerpiece of its health reform plan.","['ed', 'gillespie', 'paid', 'frontman', 'coalition', 'individual', 'mandate', 'centerpiece', 'health', 'reform', 'plan']",barely-true,false
6073,Only nine coalition nations with the U.S. are truly actively involved in fighting the Islamic State.,"['coalition', 'nation', 'truly', 'actively', 'involved', 'fighting', 'islamic', 'state']",mostly-true,true
6074,"Says Hillary Clinton presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.","['say', 'hillary', 'clinton', 'presided', 'billion', 'lost', 'state', 'department', 'sold', 'uranium', 'russian', 'faux', 'charity', 'illegally', 'deleted', 'public', 'record', 'murdered', 'ambassador']",pants-fire,false
6075,"Studies show that if we opened one reserve in Alaska now, in five years, gas prices could be at $2 a gallon.","['study', 'opened', 'reserve', 'alaska', 'year', 'gas', 'price', 'gallon']",false,false
6076,Oil companies can obtain an acre of public land for less than the price of a Big Mac.,"['oil', 'company', 'obtain', 'acre', 'public', 'land', 'price', 'big', 'mac']",mostly-true,true
6077,"When he was asked a few years ago whether he could see himself lifting the cap on the payroll tax, (McCain) said, 'I could.' But today he's attacking me for holding the very same position.","['asked', 'year', 'ago', 'lifting', 'cap', 'payroll', 'tax', 'mccain', 'said', 'today', 'attacking', 'holding', 'position']",true,true
6078,"Says that while his plan would narrow the time for early voting, it still will be one of the most aggressive early voting time frames in America.","['say', 'plan', 'narrow', 'time', 'early', 'voting', 'aggressive', 'early', 'voting', 'time', 'frame', 'america']",pants-fire,false
6079,The director of the FBI said that we cannot properly vet people coming from the Middle East.,"['director', 'fbi', 'said', 'properly', 'vet', 'people', 'coming', 'middle', 'east']",barely-true,false
6080,"Says his father-in-law, former Gov. Linwood Holton, integrated Virginia public schools.","['say', 'father', 'law', 'gov', 'linwood', 'holton', 'integrated', 'virginia', 'public', 'school']",half-true,true
6081,Says Barack Obama has added $16 trillion to the national debt.,"['say', 'barack', 'obama', 'added', 'trillion', 'national', 'debt']",false,false
6082,"Instead of fighting ISIS, (the Saudis) have focused more on a campaign to oust Iran-backed Houthi rebels in Yemen.","['instead', 'fighting', 'isi', 'saudi', 'focused', 'campaign', 'oust', 'iran', 'backed', 'houthi', 'rebel', 'yemen']",true,true
6083,Hillary Clinton is for open borders.,"['hillary', 'clinton', 'open', 'border']",false,false
6084,"Says the California flag was supposed to be apear, not a bear.","['say', 'california', 'flag', 'supposed', 'apear', 'bear']",pants-fire,false
6085,Texas Governor Rick Perrys voter ID law is a blatant effort to defeat Wendy Davis by disenfranchising tens of thousands of women voters.,"['texas', 'governor', 'rick', 'perry', 'voter', 'id', 'law', 'blatant', 'effort', 'defeat', 'wendy', 'davis', 'disenfranchising', 'ten', 'thousand', 'woman', 'voter']",pants-fire,false
6086,"The number of new businesses started per year has dropped by 100,000 during this presidents term.","['number', 'new', 'business', 'started', 'year', 'dropped', 'president', 'term']",half-true,true
6087,More than 3 million young adults ... have gained insurance under (the Affordable Care Act) by staying on their familys plan.,"['million', 'young', 'adult', 'gained', 'insurance', 'affordable', 'care', 'act', 'staying', 'family', 'plan']",half-true,true
6088,"As governor of Massachusetts, Romney reduced unemployment to just 4.7 percent.","['governor', 'massachusetts', 'romney', 'reduced', 'unemployment', 'percent']",half-true,true
6089,Says Rep. Paul Ryans budget proposal would effectively double the interest paid out on existing and future student loans.,"['say', 'rep', 'paul', 'ryans', 'budget', 'proposal', 'effectively', 'double', 'paid', 'existing', 'future', 'student', 'loan']",barely-true,false
6090,On the president unilaterally authorizing a military attack that does not involve stopping an actual or imminent threat to the nation.,"['president', 'unilaterally', 'authorizing', 'military', 'attack', 'involve', 'stopping', 'actual', 'imminent', 'threat', 'nation']",false,false
6091,"In some of the states in the U.S., homosexuality remains a felony.","['state', 'homosexuality', 'remains', 'felony']",false,false
6092,"Theres at least 7,500 addicted gamblers in Rhode Island, at least, it could be as high as 22,000.","['there', 'addicted', 'gambler', 'rhode', 'island', 'high']",mostly-true,true
6093,Says U.S. Rep. Stephen Fincher breaks earmark pledge.,"['say', 'rep', 'stephen', 'fincher', 'break', 'earmark', 'pledge']",barely-true,false
